,date,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y
128,4/9/17,65.92,,,,64.59,,,,35.09,,,,51.24,,,
129,1/10/17,42.87,,,,74.35,,,,34.86,,,,51.24,,,
130,2/10/17,74.2,,,,55.63,,,,46.65,,,,83.99,,,
131,3/10/17,41.61,,,,65.17,,,,55.76,,,,41.09,,,
132,4/10/17,78.59,,,,58.02,,,,50.0,,,,69.35,,,
133,5/10/17,46.31,,,,25.81,,,,27.01,,,,49.59,,,
134,1/11/17,,,,,30.16,,,,,,,,61.82,,,
135,2/11/17,,,,,50.69,,,,43.43,,,,58.69,,,
136,3/11/17,49.42,,,,,,,,48.96,,,,,,,
137,4/11/17,83.48,,,,42.63,,,,24.5,,,,44.13,,,
138,1/12/17,68.86,,,,41.72,,,,60.5,,,,72.61,,,
139,2/12/17,69.35,,,,87.92,,,,48.71,,,,77.03,,,
140,3/12/17,56.94,,,,41.34,,,,43.4,,,,81.63,,,
